"table_name","columns"
"_pg_user_mappings","oid, foreign_server_name, umuser, foreign_server_catalog, srvowner, umoptions, authorization_identifier"
"pg_auth_members","set_option, member, inherit_option, roleid, grantor, admin_option, oid"
"pg_stat_user_functions","funcid, schemaname, funcname, self_time, calls, total_time"
"pg_stat_user_indexes","indexrelname, relname, indexrelid, idx_tup_read, relid, last_idx_scan, idx_tup_fetch, schemaname, idx_scan"
"pg_stat_user_tables","schemaname, seq_tup_read, last_idx_scan, last_autoanalyze, n_tup_ins, n_tup_del, n_ins_since_vacuum, relid, vacuum_count, seq_scan, last_autovacuum, analyze_count, n_dead_tup, autoanalyze_count, n_tup_upd, n_mod_since_analyze, idx_scan, last_vacuum, autovacuum_count, idx_tup_fetch, n_live_tup, n_tup_newpage_upd, n_tup_hot_upd, last_analyze, last_seq_scan, relname"
"pg_stat_xact_user_functions","funcname, self_time, funcid, calls, schemaname, total_time"
"pg_stat_xact_user_tables","n_tup_ins, n_tup_del, n_tup_newpage_upd, seq_tup_read, idx_tup_fetch, n_tup_hot_upd, idx_scan, schemaname, n_tup_upd, relid, relname, seq_scan"
"pg_statio_user_indexes","indexrelid, schemaname, idx_blks_hit, relname, relid, idx_blks_read, indexrelname"
"pg_statio_user_sequences","relid, relname, blks_hit, schemaname, blks_read"
"pg_statio_user_tables","toast_blks_hit, toast_blks_read, idx_blks_read, heap_blks_read, relid, relname, idx_blks_hit, tidx_blks_hit, schemaname, tidx_blks_read, heap_blks_hit"
"pg_user","valuntil, useconfig, usesysid, usesuper, usename, usecreatedb, usebypassrls, passwd, userepl"
"pg_user_mapping","umoptions, umserver, oid, umuser"
"pg_user_mappings","umoptions, usename, umid, srvid, umuser, srvname"
"user_defined_types","numeric_precision, datetime_precision, interval_type, user_defined_type_catalog, interval_precision, ordering_routine_name, user_defined_type_category, character_set_catalog, source_dtd_identifier, character_set_name, ordering_category, is_final, ordering_form, ref_dtd_identifier, user_defined_type_schema, ordering_routine_catalog, character_octet_length, data_type, collation_name, is_instantiable, character_maximum_length, user_defined_type_name, collation_catalog, numeric_scale, collation_schema, character_set_schema, numeric_precision_radix, ordering_routine_schema, reference_type"
"user_mapping_options","option_name, option_value, foreign_server_catalog, foreign_server_name, authorization_identifier"
"user_mappings","foreign_server_catalog, foreign_server_name, authorization_identifier"
